,CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law
251,Bill Lovette,PPC,Consumer Staples,Q4,2016,2017-02-09 14:28:00,0.143,0.115,0.152,2509,1987,1110,98,77,46,9,3,3.0,0.5,0.805923666,0.684235047,0.577117045,0.700167735,0.53677391,0.963581462,0.885823076,0.720772167,0.145197657,0.890886672,2017-05-04 09:00:00,83.0,-0.008252427184466102,-0.0014563106796117056,0.08058252427184466,0.11796116504854366,0.128634,525239122.9,0.05317,1799062000.0,5.4442,-30876000.0,556115122.9,45122122.9,-287070000.0,797371000.0,231708000.0,1029079000.0,327585000.0,342917000.0,640440000.0,624728000.0,15712000.0,0.0,-281811000.0,2101844000.0,8.1765,2.8295,4833476520.0,4559937520.0,2.3262,6.722,0.4893,10.9719,0.144585,0.091142,2.5346,0.4616,4.4311,5.7187,8.6816,5.7332,8.1996,-0.155012,-0.236268,-0.252404,-0.275811,-0.308,-0.220524,0.120943,-0.016873,0.095199,0.067545,0.088549,0.073466,0.059678,0.017647,0.110765,-0.631761,1.181062,0.111755,0.104173,0.080182,0.080717,0.048602,0.888245,0.031465,0.0,0.031574,0.663112,0.908029,0.336888,2.3689,24.6587,9.8759,6.2002,13.6591,14.8021,36.9586,26.7222,25.0385,0.0839,2.4912,2.2621,0.0,0.0075,0.289468,0.321088,-0.03162,-0.002654,0.286813,0.306484,0.191207,0.115131,0.003353,0.285851,1.488773,1.734456,2.427956,0.007475,0.0,0.007475,0.0,0.003936,0.988589,0.0153,-0.2738,0.0,0.0299,-0.5365,0.0,3.4099,10.5422,6.9443,6.2111,2.6132,10.5157,6.1846,7.3525,1.5271,0.6262,0.034713,0.064831,0.063241,525947989.7,0.053241,0.073294,253669000.0,1.74,254126000.0,1.73,253200000.0,1.74,0.25000000000000006,,,0.25000000000000006,0.0,0.25,,,0.6099999999999999,0.020000000000000018,0.0
252,Bill Lovette,PPC,Consumer Staples,Q1,2017,2017-05-04 09:00:00,0.143,0.135,0.079,2744,1821,1013,149,103,46,7,5,1.4,0.166666667,0.811214872,0.679535746,0.568892803,0.704408724,0.52319306,0.97497752,0.865171997,0.655728927,0.170909957,0.838996352,2017-08-03 12:33:00,91.0,0.0020000000000000282,-0.0071999999999999885,-0.060799999999999986,-0.17040000000000005,0.19997,513877974.5,0.049435,939255000.0,11.8754,127844000.0,386033974.5,51033974.5,-40096000.0,774292000.0,251989000.0,1026281000.0,412560000.0,467461000.0,502638000.0,502542000.0,96000.0,0.0,-35081000.0,979447000.0,3.8942,2.5096,5541092760.0,5515956760.0,5.7162,8.8699,0.5331,13.3173,0.12354,0.07509,5.8727,0.5306,5.3747,7.1239,10.734,8.1577,14.2888,-0.064469,-0.155577,-0.163214,-0.197552,-0.239631,-0.256791,-0.720848,0.157558,0.052275,-0.002719,-0.028944,-0.02163,-0.035977,-0.046243,-0.149868,-0.305838,-0.47792,0.108029,0.098729,0.074077,0.074487,0.044526,0.891971,0.033849,0.0,0.033951,0.667352,0.895725,0.332654,3.0231,28.7079,10.891,6.7925,17.586,12.7143,33.514,20.7551,25.4731,-0.2552,2.9258,2.6207,0.0,0.0001,0.587066,-0.170149,0.757215,-0.193246,0.393819,0.441014,0.22518,0.134605,0.005352,0.391711,1.544332,1.825077,1.638945,9.8e-05,0.0,9.8e-05,0.0,0.010154,0.989705,0.0001,-0.0342,0.0,0.0002,-0.0683,0.0,5.0359,9.361,6.2126,4.3732,1.2249,8.1746,3.1869,4.667,1.5482,0.4378,0.04497,0.048354,0.048345,514591367.7,0.049504,0.06672,248692000.0,1.66,248926000.0,1.65,247200000.0,1.66,0.25,,0.25,0.25,0.0,-0.13000000000000034,,-0.13000000000000034,-0.10000000000000009,0.0,0.0
253,Bill Lovette,PPC,Consumer Staples,Q2,2017,2017-08-03 12:33:00,0.158,0.089,0.209,1716,1049,466,63,42,29,6,1,6.0,0.714285714,0.800160802,0.682986126,0.590144305,0.708619354,0.537768571,0.94666552,0.880568349,0.809776669,0.199150395,0.894149533,2017-11-08 15:01:00,97.0,0.003944773175542322,0.05128205128205117,0.16607495069033518,0.13412228796844175,0.287342,615170383.5,0.055326,920368000.0,13.1464,149181000.0,465989383.5,60177383.5,-289729000.0,913897000.0,275638000.0,1189535000.0,438227000.0,521907000.0,846192000.0,806094000.0,40098000.0,0.0,-284187000.0,1250195000.0,4.8187,3.496,5686543320.0,5412733320.0,4.7399,6.5331,0.5114,11.4455,0.0,0.087371,5.8811,0.4868,4.5503,5.9227,8.7988,6.4443,11.6156,0.231762,0.17424,0.173572,0.136796,0.081522,0.164526,-0.650346,0.193443,0.069646,0.159073,0.1803,0.197114,0.199093,0.206061,0.242196,0.20712,-0.020108,0.117966,0.106983,0.082,0.082193,0.049914,0.882034,0.035478,0.0,0.035966,0.674714,0.900058,0.325291,3.2393,29.4273,10.8961,7.0893,19.7274,12.4034,33.4982,18.5021,27.3995,-0.1662,3.3838,3.0456,0.0,0.0331,0.727343,-0.356887,1.08423,-0.180226,0.547117,0.55096,0.26625,0.161689,0.00647,0.543577,0.026793,0.252508,1.916648,0.032073,0.0,0.032073,0.0,0.0083,0.959626,0.0337,-0.2389,0.0,0.0652,-0.462,0.0,5.1344,9.7499,6.5629,5.0747,1.8877,8.9608,4.2855,4.9714,1.8207,0.7275,0.046939,0.076104,0.072497,618825959.3,0.055655,0.073978,248753000.0,2.0,248973000.0,1.99,248600000.0,2.0,0.2499999999999999,,0.2499999999999999,0.2499999999999999,,0.0900000000000003,,-0.11999999999999966,-0.09999999999999964,,0.0
254,William Lovette,PPC,Consumer Staples,Q3,2017,2017-11-08 15:01:00,0.145,0.137,0.13,2633,2114,1272,112,100,59,5,7,0.714285714,-0.166666667,0.808394093,0.65989112,0.529802762,0.67684238,0.503513331,0.969343262,0.752590988,0.317336114,0.050089249,0.739315019,2018-02-15 13:37:00,98.0,0.024154589371980808,0.030797101449275457,-0.05253623188405793,-0.10175120772946852,0.26582,751524592.8,0.065822,1362640000.0,10.4389,537784000.0,213740592.79999995,60183592.8,-347596000.0,1113464000.0,262205000.0,1375669000.0,375327000.0,585499000.0,992129000.0,930318000.0,61811000.0,0.0,-344819000.0,1772047000.0,6.8288,0.3374,7138485960.0,6803583960.0,4.1984,84.98,0.6252,11.3155,0.0,0.088374,4.9929,0.5959,4.9457,6.1103,9.053,7.894,31.831,0.42709,0.520071,0.53594,0.525876,0.488235,0.203647,-0.858469,0.651973,0.026855,0.156476,0.218369,0.221653,0.245675,0.271357,0.026125,-0.541319,0.480538,0.134633,0.120487,0.09697,0.097522,0.060551,0.865367,0.03685,0.0,0.037664,0.678794,0.9147,0.32121,2.5189,23.2994,9.915,6.4749,15.7533,15.6657,36.8128,23.1697,29.3088,-0.1673,3.4509,3.1565,0.0,0.0361,0.687109,-0.273844,0.960953,-0.160783,0.526326,0.19542,0.245647,0.15252,0.007562,0.522346,-0.001339,0.160942,2.296318,0.034881,0.0,0.034881,0.0,0.005596,0.959499,0.0449,-0.2507,0.0,0.0822,-0.4588,0.0,3.6663,11.2187,7.572,7.4371,3.7904,8.6837,4.9021,2.1535,1.655,0.7235,0.051281,0.086895,0.081481,757827832.8,0.066374,0.089204,248753000.0,2.55,248988000.0,2.53,247500000.0,2.55,0.0,,0.0,0.0,,0.2599999999999998,,0.11999999999999966,-0.050000000000000266,,0.0
255,Bill Lovette,PPC,Consumer Staples,Q4,2017,2018-02-15 13:37:00,0.157,0.14,0.116,1817,1537,1260,59,79,39,7,7,1.0,0.0,0.812733298,0.671367926,0.535516788,0.679854956,0.525299748,0.977632573,0.823486392,0.364253778,0.058416124,0.847957506,2018-05-11 09:00:00,84.0,0.024279210925644938,-0.05121396054628217,-0.08877086494688922,-0.14643399089529588,0.090023,784169570.9,0.072825,1313197000.0,6.9196,-485865000.0,1270034570.9,66002570.9,-542464000.0,1081519000.0,277612000.0,1359131000.0,335397000.0,522009000.0,1111540000.0,1063765000.0,47775000.0,0.0,-541756000.0,1903436000.0,7.4151,0.9122,7733039260.0,7200788260.0,4.1887,34.0507,0.7182,11.1334,0.0,0.08982,5.4834,0.6687,5.2981,6.658,9.1827,8.9861,5.6698,0.320726,0.356356,0.492976,0.495817,0.612717,0.007492,1.283762,-0.270066,-0.056902,-0.012022,-0.02869,0.043438,0.038803,0.102767,-0.070253,4.941944,-0.036285,0.136667,0.126221,0.099585,0.10044,0.066695,0.863333,0.036174,0.0,0.037082,0.731282,0.908043,0.268718,1.9108,21.1551,8.3349,5.481,12.1459,17.2535,43.7917,30.0513,30.994,-0.2104,2.8593,2.5963,0.0,0.0257,0.503923,-0.159132,0.663055,-0.139537,0.364386,0.81615,0.191919,0.127441,0.00451,0.362743,0.0,0.020387,2.389172,0.025099,0.0,0.025099,0.0,0.004994,0.969907,0.0352,-0.3986,0.0,0.0609,-0.6909,0.0,3.5938,10.0904,7.3162,6.9612,4.187,7.4762,4.347,11.8492,1.7324,0.7917,0.048478,0.103228,0.098791,791317850.5,0.073489,0.091203,248738000.0,2.79,248971000.0,2.79,249000000.0,2.79,0.010000000000000009,,0.26,0.26,0.0,0.5499999999999998,,0.5499999999999998,0.56,0.3599999999999999,1.0
256,Bill Lovette,PPC,Consumer Staples,Q1,2018,2018-05-11 09:00:00,0.178,0.139,0.111,2301,1826,1017,73,60,34,8,4,2.0,0.333333333,0.805297716,0.685984208,0.560388848,0.719960405,0.531588838,0.961988636,0.892902544,0.583268942,0.287950149,0.872706243,2018-08-02 16:53:00,83.0,-0.04147465437788012,-0.04423963133640557,-0.08663594470046079,-0.13364055299539165,0.061591,825392344.0,0.074796,1588765000.0,8.7303,649510000.0,175882344.0,88739344.0,-445002000.0,1117574000.0,283974000.0,1401548000.0,289618000.0,709386000.0,1300854000.0,1151465000.0,149389000.0,0.0,-442079000.0,2183156000.0,8.1307,1.4576,6127619290.0,5694851290.0,3.0268,16.8844,0.5553,8.5097,0.0,0.117513,3.5845,0.5161,4.0633,5.0957,6.8996,7.7411,32.3788,0.365657,0.44335,0.606203,0.591579,0.751515,0.088001,-0.544386,0.691516,0.024827,0.031209,0.033337,0.052569,0.025741,0.035842,-0.081933,-0.861514,0.209845,0.136177,0.127007,0.100333,0.101274,0.066755,0.863823,0.034887,0.0,0.035845,0.745483,0.884196,0.254517,2.232,22.0278,8.7998,5.7603,13.9251,16.57,41.4783,26.2116,31.8366,-0.161,3.2816,2.9016,0.0,0.0735,0.652995,-0.365862,1.018857,-0.164031,0.488964,0.139146,0.226047,0.149,0.006405,0.485832,0.0,0.0,2.540125,0.068428,0.0,0.068428,0.0,0.004265,0.927307,0.1066,-0.3154,0.0,0.181,-0.5356,0.0,3.424,8.0766,5.9651,5.9836,3.872,5.3166,3.2236,1.2711,1.799,0.8411,0.064284,0.117882,0.104345,833267629.1,0.07551,0.089546,248838000.0,2.89,248989000.0,2.89,248800000.0,2.89,0.28,0.28,,0.28,0.010000000000000009,0.14000000000000012,0.10000000000000009,,0.43000000000000016,0.18000000000000016,1.0
258,Paul Reitz,TWI,Industrials,Q4,2016,2017-03-15 15:43:00,0.12,0.083,0.099,3609,862,1675,131,49,65,6,3,2.0,0.333333333,0.813165559,0.662640272,0.55504547,0.690754646,0.492448179,0.978343458,0.770837812,0.536062998,0.09782668,0.67182065,2017-05-04 21:00:00,50.0,0.016822429906542195,-0.11682242990654207,0.017757009345794512,-0.09158878504672885,-0.092685,-24414980.5,-0.019293,706033000.0,1.7645,-22301000.0,-2113980.5,15340019.5,308345000.0,-3935000.0,59768000.0,55833000.0,41948000.0,262662000.0,460489000.0,363077000.0,506172000.0,408760000.0,308345000.0,903860000.0,5.5052,5.5052,601759999.6,1010975999.6,2.0274,2.0274,0.4755,nm,0.00224,-0.062492,1.4319,0.7989,18.1071,nm,nm,23.2408,nm,0.149347,0.812975,0.452609,0.557432,0.49711,-0.319568,-1.015274,-0.030619,-0.000407,0.14701,0.69375,0.614398,0.506407,0.475904,-0.502163,-1.015649,0.156953,0.111747,0.044119,-0.017701,-0.003109,-0.031415,0.888253,0.11457,0.007879,0.129447,1.089954,9.269123,-0.089954,0.998,7.0941,4.1477,2.8527,8.2833,51.451,88.0006,44.0645,95.3871,0.7502,3.0946,28.6838,1.0278,1.2728,-0.034043,0.049901,-0.083944,-0.062974,-0.097017,-0.002948,-0.003103,-0.031351,0.21679,-0.075985,-0.027192,-0.027192,1.036998,0.107773,0.452238,0.560012,0.0,0.1116,0.328388,9.0658,5.5226,7.3211,-20.732,-12.6293,-16.7422,1.7685,-0.1209,-0.7503,-1.4101,-2.0395,1.3369,0.0477,-0.065,1.9917,1.0303,0.207556,0.36388,0.286905,-15680000.0,-0.01239,-0.028822,53916000.0,nm,53916000.0,nm,43200000.0,nm,0.0,,0.0,0.25000000000000006,0.0,0.10999999999999988,,-0.0900000000000003,0.2799999999999998,0.07999999999999963,0.0
259,Paul Reitz,TWI,Industrials,Q1,2017,2017-05-04 21:00:00,0.138,0.105,0.109,3385,1274,2726,143,58,133,8,9,0.888888889,-0.058823529,0.812167935,0.639772382,0.539547668,0.672154523,0.50289292,0.976673175,0.59921332,0.398674012,0.039042348,0.735727739,2017-08-03 14:39:00,90.0,0.0017528483786152123,-0.05521472392638044,0.026292725679228808,0.06923751095530228,-0.010119,-20541331.9,-0.015786,635996000.0,1.8798,-112426000.0,91884668.1,17472668.1,178744000.0,-547000.0,58985000.0,58438000.0,43188000.0,287492000.0,468650000.0,422406000.0,455950000.0,409706000.0,178744000.0,913202000.0,6.0548,6.0548,603286888.0,884643888.0,1.7011,1.7011,0.4636,nm,0.001942,-0.060195,1.391,0.6799,15.1382,nm,nm,33.2223,9.6278,0.747287,0.983395,0.658397,0.623974,0.641791,-0.636379,0.355216,-0.150217,0.028216,0.046657,0.860991,0.158659,0.043793,0.172414,-0.387862,44.465239,-0.099198,0.117829,0.044911,-0.013411,-0.00042,-0.029214,0.882171,0.116249,0.007943,0.13124,1.177086,59.040219,-0.177086,0.9879,5.8003,4.1174,2.9001,7.0794,62.9277,88.6476,51.5581,100.0172,0.5582,2.9648,175.0448,0.896,0.9972,-0.029675,0.070463,-0.100138,-0.055896,-0.085571,0.132741,-0.000415,-0.028862,0.223444,-0.066451,-0.028463,-0.028463,0.61656,0.050639,0.448648,0.499287,0.0,0.112366,0.388347,7.8023,3.0587,7.011,-22.1967,-8.7017,-19.9454,1.7843,-0.0172,-0.647,-1.3776,-2.0073,0.8387,-0.5216,2.8942,2.1679,1.143,0.220943,0.360166,0.324627,-12215700.0,-0.009388,-0.024819,58572000.0,nm,58572000.0,nm,63600000.0,nm,0.25,,0.25,0.25,0.0,-0.13000000000000034,,-0.13000000000000034,-0.10000000000000009,0.0,0.0
260,Paul Reitz,TWI,Industrials,Q2,2017,2017-08-03 14:39:00,0.167,0.137,0.171,2917,1098,941,111,62,44,8,2,4.0,0.6,0.808464444,0.688609162,0.565801805,0.693881814,0.523440842,0.969495594,0.902923844,0.629891507,0.112111921,0.84006787,2017-11-05 01:09:00,93.0,0.07095553453169347,-0.07852412488174078,-0.0671712393566699,-0.06338694418164616,0.052604,-16518700.3,-0.01237,664649000.0,1.9145,-65733000.0,49214299.7,24226299.7,205225000.0,-7462000.0,58639000.0,51177000.0,39050000.0,316727000.0,469963000.0,427400000.0,451352000.0,408789000.0,205225000.0,910776000.0,5.9622,5.9622,713044455.1,1022481455.1,2.0074,2.0074,0.534,nm,0.001671,-0.055189,1.5384,0.7657,19.9793,nm,nm,nm,20.7761,1.12582,0.811351,0.753601,0.626809,0.653509,-1.195021,-0.45274,-0.089998,0.026272,-0.124251,-12.641682,0.195831,-0.071842,-0.097222,-1.628098,-0.464391,0.045052,0.115038,0.038324,-0.011703,-0.005588,-0.030512,0.884962,0.111896,0.00766,0.126741,1.056994,5.165907,-0.056994,1.0192,6.4102,3.9575,3.0171,7.1053,56.9401,92.2308,51.3702,97.8006,0.5614,2.933,15.1515,0.8898,0.9824,-0.023682,0.096597,-0.120279,-0.067527,-0.09121,0.070557,-0.005695,-0.031098,0.226912,-0.070513,-0.027267,-0.027267,-0.428297,0.046733,0.448836,0.495569,0.0,0.114421,0.39001,8.8194,4.0101,7.9877,-27.3237,-12.4238,-24.747,1.8907,-0.24,-0.5314,-1.4962,-1.7876,-0.538,-1.7942,1.5832,2.2293,1.0733,0.23718,0.35193,0.320057,-10939600.0,-0.008192,-0.028866,59577000.0,nm,59577000.0,nm,37000000.0,nm,0.2499999999999999,,0.2499999999999999,0.2499999999999999,,0.0900000000000003,,-0.11999999999999966,-0.09999999999999964,,0.0
261,Paul Reitz,TWI,Industrials,Q3,2017,2017-11-05 01:09:00,0.151,0.136,0.15,4265,1492,659,170,80,31,21,11,1.909090909,0.3125,0.820676628,0.645606476,0.55884201,0.698926998,0.506852731,0.98796272,0.646689073,0.569695599,0.138195001,0.758184327,2018-02-23 15:38:00,110.0,-0.022569444444444427,-0.04687499999999993,0.09288194444444448,0.18229166666666663,0.105978,-16554351.2,-0.011823,659184000.0,2.206,48932000.0,-65486351.2,26434648.8,197057000.0,-6413000.0,58908000.0,52495000.0,34682000.0,312265000.0,467940000.0,431766000.0,447404000.0,411230000.0,197057000.0,909531000.0,5.972,5.972,603148354.3,906401354.3,1.6946,1.6946,0.4308,nm,0.001976,-0.071893,1.375,0.6473,17.2664,nm,nm,nm,nm,0.078435,0.500895,0.738546,0.466254,0.493976,-1.294079,-1.484773,0.080183,0.04852,0.025754,0.140579,-0.002158,-0.055074,-0.063291,-0.536383,-2.330637,-0.008222,0.113441,0.037492,-0.009989,-0.00458,-0.030702,0.886559,0.10915,0.007205,0.12343,1.183553,5.663808,-0.183553,1.0616,6.6585,4.0736,3.1565,7.3732,54.8169,89.6018,49.5035,94.9152,0.4337,2.9794,16.8747,0.8899,0.9681,-0.026081,0.137669,-0.16375,-0.071025,-0.097106,-0.103174,-0.004862,-0.032593,0.231989,-0.074578,-0.026495,-0.026495,-0.740903,0.039772,0.452134,0.491906,0.0,0.116759,0.391335,8.5228,3.7538,7.8337,-27.0264,-11.9036,-24.8412,1.8294,-0.2144,-0.5535,-1.374,-1.7131,-0.8591,-2.0187,-2.1895,2.2192,1.1066,0.223017,0.334199,0.308364,-9790900.0,-0.006993,-0.025941,59600000.0,nm,59600000.0,nm,54600000.0,nm,0.0,0.0,0.0,,0.0,-0.050000000000000266,0.23999999999999977,0.08000000000000007,,-0.03000000000000025,0.0
262,Paul G. Reitz,TWI,Industrials,Q4,2017,2018-02-23 15:38:00,0.119,0.128,0.094,4132,1488,692,192,108,41,13,6,2.166666667,0.368421053,0.811319105,0.666611785,0.554883231,0.682731875,0.530393195,0.975167863,0.795813383,0.53461825,0.067347354,0.868230878,2018-05-04 21:00:00,70.0,-0.023028611304954646,-0.11514305652477323,-0.17934403349616193,-0.28122819260293086,0.160747,-13513596.5,-0.0092,730529000.0,2.0451,24496000.0,-38009596.5,50565403.5,307252000.0,-4001000.0,58444000.0,54443000.0,32626000.0,310352000.0,453922000.0,410271000.0,450822000.0,407171000.0,307252000.0,874099000.0,5.4083,5.4083,762327325.6,1171927325.6,2.3754,2.3754,0.519,nm,0.001557,-0.078761,1.6042,0.7978,21.5258,nm,nm,nm,nm,-0.024896,-0.016773,0.446504,-0.611848,-0.287356,-1.029632,-16.980107,0.034695,0.049094,0.037108,0.376111,0.183683,-0.490591,-0.333333,0.949837,0.41958,0.108232,0.109135,0.037063,-0.007591,-0.002724,-0.043623,0.890865,0.102576,0.007013,0.116726,1.211873,13.215696,-0.211873,1.1494,7.2345,4.276,3.4223,7.6137,50.4526,85.3601,47.9399,87.8727,0.7498,3.1134,41.146,0.9619,1.0651,-0.018814,0.164281,-0.183095,-0.137293,-0.156107,-0.052917,-0.003131,-0.05014,0.247537,-0.117464,-0.018212,-0.018212,-0.039508,0.049938,0.465818,0.515756,0.0,0.11709,0.367154,8.2806,5.6436,7.4788,-33.3606,-22.7365,-30.1305,1.9899,-0.0819,-0.2765,-0.7494,-0.944,-0.0264,-0.6939,-0.7777,2.1002,0.9929,0.211279,0.309017,0.279301,-7805700.0,-0.005314,-0.035996,59340000.0,nm,59340000.0,nm,53600000.0,nm,0.26,,,0.26,0.0,0.54,,,0.41999999999999993,0.22999999999999998,1.0
263,Paul Reitz,TWI,Industrials,Q1,2018,2018-05-04 21:00:00,0.119,0.111,0.083,3640,1149,944,130,50,38,5,8,0.625,-0.230769231,0.812263035,0.643455313,0.563016305,0.696987125,0.49596399,0.976836938,0.629403922,0.6060905,0.127714604,0.694032894,2018-08-06 03:06:00,93.0,-0.04955320877335509,-0.06336311941510976,-0.022745735174654842,-0.12266450040617383,0.181062,16504341.5,0.010739,714972000.0,2.2751,78976000.0,-62471658.5,55312341.5,267558000.0,16839000.0,59308000.0,76147000.0,32044000.0,380263000.0,492692000.0,437521000.0,462779000.0,407608000.0,267558000.0,910193000.0,5.7327,5.7327,753391803.5,1125111803.5,2.1949,2.1949,0.4902,nm,0.001987,-0.042772,1.5736,0.7321,14.7755,66.8158,68.1707,nm,nm,0.303039,31.784278,1.80347,-0.020887,0.013889,-1.842459,-1.679892,0.124177,0.046211,0.398655,5.208698,2.221314,0.394373,0.366071,-16.403413,-0.643576,-0.021296,0.116912,0.049549,0.008809,0.010957,-0.025252,0.883088,0.09452,0.006726,0.108103,1.219112,-1.890433,-0.219112,1.1472,5.835,4.1073,3.5875,6.5543,62.553,88.8658,55.6883,95.7305,0.4933,2.9616,-5.5988,0.911,1.0343,0.024433,0.24787,-0.223436,-0.110229,-0.085795,-0.092484,0.01257,-0.028969,0.228565,-0.066185,-0.030793,-0.030793,-0.700069,0.060615,0.447826,0.508441,0.0,0.114439,0.37712,6.0774,3.5137,5.3529,28.0398,16.2114,24.697,2.0352,0.346,0.3391,-0.3124,-0.3193,-0.4609,-1.1193,-1.2835,2.0583,0.9843,0.247438,0.320595,0.284696,9476600.0,0.006166,-0.020714,59711000.0,nm,59876000.0,nm,71200000.0,nm,0.28,0.28,,0.28,0.010000000000000009,0.11000000000000032,0.07000000000000028,,0.4900000000000002,0.16000000000000014,1.0
265,Thomas E. Jorden,XEC,Energy,Q4,2016,2017-02-16 19:41:00,0.159,0.16,0.16,2886,2276,3646,139,142,162,2,5,0.4,-0.428571429,0.803616751,0.678778079,0.552631746,0.738294508,0.503649381,0.957428442,0.861616427,0.51452994,0.460886462,0.740098311,2017-05-10 11:00:00,82.0,-0.007368421052631502,-0.05240601503759398,-0.10157894736842109,-0.1027067669172932,-0.134429,-375140598.0,-0.298359,2997767000.0,0.4018,-262572000.0,-112568598.0,33662402.0,954778000.0,-561180000.0,392348000.0,-168832000.0,691669000.0,-86209000.0,566667000.0,446952000.0,1607654000.0,1487939000.0,954778000.0,3650643000.0,21.8785,15.2364,12544501126.8,13499279126.8,6.1403,8.817,9.977,nm,0.002978,-0.032588,4.5031,10.7363,nm,nm,nm,21.5695,nm,0.948286,0.859571,0.853066,0.841525,0.842162,-0.137626,-1.522311,-0.080535,0.059737,0.888352,0.708744,0.693791,0.674973,0.66692,0.060815,0.62156,-0.071819,0.790203,-0.134277,-0.454837,-0.446321,-0.325132,0.209797,0.058775,0.0,1.24504,0.65597,1.110524,0.34403,0.2811,5.0297,6.0005,0.4547,3.7337,72.5689,60.8278,97.7585,35.6382,0.3903,1.9874,2.2071,0.7283,0.7869,-0.119889,0.038323,-0.158213,-0.061746,-0.181636,-0.035975,-0.125457,-0.091392,0.0,-0.181636,-0.093013,-0.09326,0.904839,0.032793,0.407583,0.440376,0.0,0.0,0.559624,-9.5222,-5.6552,-8.8131,-4.2855,-2.5451,-3.9664,3.1771,-9.0478,-6.0483,-20.1994,-17.1999,10.0904,-1.0612,-1.8149,1.8557,1.7755,-0.068564,0.450685,0.355473,121868036.4,0.096925,-0.495651,93379000.0,nm,93379000.0,nm,93379000.0,nm,0.0,,0.25000000000000006,0.25000000000000006,0.0,-0.1499999999999999,,0.11000000000000032,0.6900000000000002,0.1200000000000001,0.0
