,Unnamed: 0,CEO,Ticker,Sector,Quarter,Year,Date,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile,Next_Date,Time_Delta,twenty_ret,twentyfive_ret,thirty_ret,thirtyfive_ret,revenuegrowth,nopat,nopatmargin,investedcapital,investedcapitalturnover,investedcapitalincreasedecrease,freecashflow,netnonopex,netnonopobligations,ebit,depreciationandamortization,ebitda,capex,dfcfnwc,dfnwc,nwc,debt,ltdebtandcapleases,netdebt,totalcapital,bookvaluepershare,tangbookvaluepershare,marketcap,enterprisevalue,pricetobook,pricetotangiblebook,pricetorevenue,pricetoearnings,dividendyield,earningsyield,evtoinvestedcapital,evtorevenue,evtoebitda,evtoebit,evtonopat,evtoocf,evtofcff,ebitdagrowth,ebitgrowth,nopatgrowth,netincomegrowth,epsgrowth,ocfgrowth,fcffgrowth,investedcapitalgrowth,revenueqoqgrowth,ebitdaqoqgrowth,ebitqoqgrowth,nopatqoqgrowth,netincomeqoqgrowth,epsqoqgrowth,ocfqoqgrowth,fcffqoqgrowth,investedcapitalqoqgrowth,grossmargin,ebitdamargin,operatingmargin,ebitmargin,profitmargin,costofrevtorevenue,sgaextorevenue,rdextorevenue,opextorevenue,taxburdenpct,interestburdenpct,efftaxrate,assetturnover,arturnover,invturnover,faturnover,apturnover,dso,dio,dpo,ccc,finleverage,leverageratio,compoundleveragefactor,ltdebttoequity,debttoequity,roic,nnep,roicnnepspread,rnnoa,roe,croic,oroa,roa,noncontrollinginterestsharingratio,roce,divpayoutratio,augmentedpayoutratio,ocftocapex,stdebttocap,ltdebttocap,debttototalcapital,preferredtocap,noncontrolinttocap,commontocap,debttoebitda,netdebttoebitda,ltdebttoebitda,debttonopat,netdebttonopat,ltdebttonopat,altmanzscore,ebittointerestex,nopattointerestex,ebitlesscapextointerestex,nopatlesscapextointex,ocftointerestex,ocflesscapextointerestex,fcfftointerestex,currentratio,quickratio,dfcfnwctorev,dfnwctorev,nwctorev,normalizednopat,normalizednopatmargin,pretaxincomemargin,adjweightedavebasicsharesos,adjbasiceps,adjweightedavedilutedsharesos,adjdilutedeps,adjweightedavebasicdilutedsharesos,adjbasicdilutedeps,FFR_0,FFR_60,FFR_90,FFR_120,FFR_30,T10_0,T10_60,T10_90,T10_120,T10_30,Tax_Law,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
285,341,Ian M. Cook,CL,Consumer Staples,Q3,2017,10/27/2017 16:09,1,2601,114,6,1.8,2.285714286,1.809017078,1.675849838,1.570951361,1.697682425,1.536813781,0.970670535,0.847277738,0.672550159,0.13140565,0.891018841,1/26/2018 16:52,91,-0.013401768,0.000142572,0.043199316,0.067151411,-0.005854,2653951773,0.173654,5414000000,2.8127,-39000000,2692951773,204951773,5147000000,3820000000,468000000,4288000000,583000000,-491000000,889000000,882000000,6527000000,6520000000,5147000000,6794000000,-0.1226,-4.1637,61858075246,67380075246,NA,NA,4.0475,26.8132,0.028048,0.037295,12.4455,4.4088,15.7136,17.6388,25.3886,21.6031,25.0209,0.346734,0.392636,0.673202,0.593364,0.681818,-0.01235,0.302106,-0.007152,0.007051,-0.022789,-0.028978,-0.026905,-0.037721,-0.037175,-0.002239,-0.065703,0.008945,0.601911,0.280573,0.249951,0.249951,0.160243,0.398089,0.340378,0,0.35196,0.694752,0.922775,0.305248,1.2035,9.8919,5.0742,3.9007,5.4321,36.8988,71.9321,67.1926,41.6383,20.9535,51.3091,47.3467,24.4195,24.4457,0.488442,0.03952,0.448922,9.406507,9.894949,0.49562,0.300811,0.19285,1.486869,-4.817541,0.622703,1.225806,5.349914,0.00103,0.95967,0.960701,0,0.055196,-0.015896,1.5222,1.2003,1.5205,2.4594,1.9394,2.4567,7.4477,12.9492,8.9964,10.9729,7.0202,10.5729,8.5966,9.1287,1.2289,0.7551,-0.032127,0.058169,0.057711,2653951773,0.173654,0.230648,880700000,2.6,880700000,2.59,880700000,2.6,0,0,,0,0,0.12,0.26,,0.15,0.11,0,0.372827038,71.82617907,14.62873884,1,4,1.045784548,1
286,342,Ian Cook,CL,Consumer Staples,Q4,2017,1/26/2018 16:52,1,2906,135,2,14,2.866666667,1.820911493,1.656610241,1.581931273,1.683456525,1.527603572,0.988191203,0.729837752,0.755852187,0.06975551,0.857370774,4/27/2018 18:52,91,0.005176406,-0.01334968,-0.031739545,-0.033510421,0.017045,2311160883,0.149551,5285000000,2.938,50000000,2261160883,137160883.3,5042000000,3707000000,475000000,4182000000,553000000,-293000000,1242000000,1231000000,6577000000,6566000000,5042000000,6820000000,-0.068,-4.1041,64500583196,69845583196,NA,NA,4.1737,31.8679,0.021737,0.03138,13.2158,4.5196,16.7015,18.8415,30.221,22.8702,30.8893,-0.049113,-0.062705,-0.155316,-0.159319,-0.161765,-0.027698,-0.255002,0.009551,0.011189,-0.02472,-0.029581,-0.129162,-0.112291,-0.119691,-0.02084,-0.160341,-0.023827,0.600492,0.27061,0.239873,0.239873,0.140676,0.399508,0.349424,0,0.360619,0.623459,0.940653,0.376541,1.2463,10.6911,5.1622,3.9065,5.286,34.1405,70.7062,69.0509,35.7958,39.4615,95.3808,89.7202,27.0206,27.0658,0.439384,0.026737,0.412647,16.283693,16.723077,0.429878,0.298964,0.17533,2.165385,-19.488817,0.703312,1.346826,5.522604,0.001613,0.962757,0.96437,0,0.044428,-0.008798,1.5727,1.2056,1.5701,2.8458,2.1816,2.841,7.681,16.85,10.5053,14.3364,7.9916,13.8818,11.3682,10.278,1.3612,0.8847,-0.018959,0.080368,0.079656,2311160883,0.149551,0.225637,881800000,2.3,881800000,2.28,881800000,2.3,0.26,0.26,,0.26,0,0.24,0.34,,0.35,0.24,1,0.361939221,72.4913788,15.29705854,1,4.741657387,1.026436223,1
287,343,Ian Cook,CL,Consumer Staples,Q1,2018,4/27/2018 18:52,1,2504,113,11,0.5,1.666666667,1.823929749,1.664556858,1.565731757,1.676969349,1.527319205,0.990808955,0.783098716,0.629298599,0.050419983,0.85623067,7/27/2018 16:13,90,-0.010467233,-0.033525485,-0.032918689,-0.02032767,0.03284,2385601014,0.152007,5959000000,2.8329,838000000,1547601014,144601014.4,5858000000,3778000000,495000000,4273000000,550000000,-380000000,471000000,312000000,6709000000,6550000000,5858000000,6810000000,-0.2844,-5.2582,61147408406,67355408406,NA,NA,3.8962,29.2852,0.022906,0.034147,11.3031,4.2918,15.763,17.8283,28.2341,22.6101,43.5225,-0.038911,-0.0555,-0.144849,-0.145635,-0.148014,-0.07427,-0.510514,0.16364,0.01553,0.02176,0.019153,0.032209,0.030819,0.035088,-0.024558,-0.315572,0.127531,0.600166,0.27227,0.240729,0.240729,0.142793,0.399834,0.347649,0,0.359437,0.631445,0.939386,0.368555,1.2265,9.9962,5.018,3.9383,5.3978,36.514,72.7382,67.6195,41.6327,114.4167,266.5833,250.4246,64.8515,66.4257,0.430614,0.026329,0.404285,46.256886,46.6875,0.27935,0.295249,0.175133,6.854167,-273.316406,0.685408,1.317715,5.416364,0.023348,0.961821,0.985169,0,0.051395,-0.036564,1.5701,1.3709,1.5329,2.8123,2.4556,2.7456,7.176,16.4978,10.4175,14.0961,8.0157,13.0087,10.607,6.7581,1.0784,0.6269,-0.024213,0.030011,0.01988,2385601014,0.152007,0.226137,875400000,2.38,875400000,2.36,875400000,2.38,0.28,0.28,,0.28,0.02,0.3,0.1,,0.53,0.19,1,0.378153408,72.55342859,14.76482306,1,3.236067977,1.053684653,1
289,346,Lynn J. Good,DUK,Utilities,Q1,2017,5/9/2017 10:00,1.143,2464,169,1,inf,3,1.806441347,1.671016247,1.659016497,1.737065523,1.537653271,0.964857134,0.821525252,0.992249926,0.448633318,0.893774958,8/3/2017 15:31,86,0.002552571,0.010331834,0.052266926,0.013370609,0.06512,3095604173,0.134038,70185000000,0.3018,-12666000000,15761604173,907604172.5,70185000000,5948000000,3940000000,9888000000,6998000000,1817000000,1817000000,-3718000000,52556000000,47021000000,51434000000,52556000000,NA,NA,52650167144,1.04084E+11,NA,NA,2.2797,24.2739,0.045071,0.041196,1.483,4.5068,10.5263,17.499,33.6232,16.1948,6.6037,0.13148,0.171327,-0.181627,-0.17837,-0.1875,-0.074186,111.077609,-0.152877,0.015477,0.035935,0.049956,-0.138081,0.008295,0.003215,-0.063529,3.177476,-0.225408,0.374194,0.428145,0.232258,0.257545,0.094739,0.625806,0,0,0.141935,0.616859,0.596335,0.422893,0.2003,15.6789,4.0787,0.2888,NA,23.2797,89.4885,0,112.7682,2.8316,5.7748,3.4437,NA,NA,0.040456,0.01605,0.024406,0.069106,0.109562,0.205986,0.051575,0.018972,0.001227,0.109427,1.079525,1.079525,0.918405,0.105316,0.894684,1,0,0,0,5.3151,5.2017,4.7554,16.9776,16.6152,15.1896,0.6994,2.4711,1.2861,-0.4362,-1.6213,2.6701,-0.2372,6.5482,0.5745,0.0713,0.078675,0.078675,-0.160987,3086370454,0.133638,0.153583,700000000,3.12,700000000,3.12,702000000,3.12,0,0.25,0.25,0.25,,0.04,-0.16,0.08,0.04,,0,0.490917508,50.68530359,13.19090596,9.246211251,2.732050808,1.037966438,69.9723135
290,347,Lynn J. Good,DUK,Utilities,Q2,2017,8/3/2017 15:31,1.149,1353,86,2,4,2.6,1.799212332,1.684428335,1.654076254,1.765311805,1.522047596,0.943362189,0.886621373,0.9895495,0.719515145,0.83398212,11/3/2017 12:51,91,0.00359754,0.002553093,0.013113613,-0.017755599,0.36068,3128582430,0.107912,93238000000,0.3278,9576000000,-6447417571,763582429.5,51944000000,6076000000,3965000000,10041000000,7021000000,1869000000,2167000000,-4793000000,53003000000,46043000000,51438000000,94297000000,58.9771,31.2271,54218800680,1.05667E+11,1.3133,2.4804,1.8701,23.1112,0.054806,0.043269,1.1333,3.6447,10.5235,17.3908,33.7747,16.413,NA,0.141412,0.191373,-0.192802,-0.100076,-0.115789,-0.08629,-103.579446,0.114461,0.255337,0.015473,0.02152,0.010653,0.080896,0.076923,0.001712,-1.409058,0.32846,0.577815,0.346337,0.188259,0.209575,0.081574,0.422185,0,0,0.389556,0.641269,0.606978,0.42679,0.225,11.8431,3.4991,0.3585,5.5662,30.8195,104.3113,65.5748,69.5561,1.1774,3.1715,1.925,1.115,1.2836,0.035371,0.015965,0.019406,0.02285,0.058221,-0.072893,0.047163,0.018358,0.000775,0.058176,1.011416,1.011416,0.916963,0.073809,0.488276,0.562086,0,0.000106,0.437808,5.2787,5.1228,4.5855,16.9415,16.4413,14.7169,0.6948,2.5159,1.2955,-0.3913,-1.6118,2.6658,-0.2414,-2.6697,0.6155,0.2147,0.064466,0.074745,-0.165321,3124569957,0.107774,0.127208,700000000,3.36,700000000,3.36,700000000,3.36,0.25,,0.25,0.25,,0.09,,-0.12,-0.1,,0,0.520576603,43.26661531,11.40175425,6.291502622,3,1.055739986,36.41914047
291,348,Lynn J. Good,DUK,Utilities,Q3,2017,11/3/2017 12:51,1.188,2575,146,2,8,2.777777778,1.813095316,1.680730465,1.655531525,1.752424031,1.526118318,0.978229255,0.87065027,0.990419408,0.601494839,0.851348313,2/20/2018 16:58,109,-0.005545496,0.005998189,-0.020597555,-0.09336804,0.653271,3060850272,0.086514,93845000000,0.4404,27017000000,-23956149728,921850272,52203000000,5819000000,4023000000,9842000000,7072000000,988000000,1270000000,-3114000000,53313000000,48929000000,51665000000,94955000000,59.4729,31.7329,54994141279,1.0667E+11,1.321,2.4758,1.5544,25.8918,0.043977,0.038622,1.1367,3.015,10.8383,18.3314,34.8498,17.122,NA,0.066075,0.067315,-0.08133,-0.255741,-0.272289,-0.09906,-2.375381,0.404277,0.220337,-0.019819,-0.042298,-0.021649,-0.09556,-0.10119,-0.032308,-2.715619,0.00651,0.734002,0.27818,0.145986,0.164471,0.060458,0.265998,0,0,0.588016,0.612368,0.600275,0.407386,0.2947,13.2534,2.8449,0.4339,NA,27.5401,128.2988,0,155.8389,2.8584,5.7658,3.4611,1.175,1.2803,0.0381,0.015489,0.022611,0.064632,0.102733,-0.298198,0.048471,0.017818,0.000264,0.102706,1.134175,1.134175,0.880939,0.046169,0.515286,0.561455,0,0.000116,0.438429,5.4169,5.2494,4.9714,17.4177,16.8793,15.9854,0.7516,2.3761,1.2498,-0.5116,-1.6379,2.5439,-0.3438,-9.782,0.7122,0.2679,0.027925,0.035896,-0.088016,3173446894,0.089696,0.098728,700000000,3.02,700000000,3.02,701500000,3.02,0,,,0,0,0.07,,,-0.03,0.01,0,0.458257569,58.93216439,14.86606875,8.615773106,3.828427125,1.049177129,55.85738596
292,349,Lynn Good,DUK,Utilities,Q4,2017,2/20/2018 16:58,1.157,1558,96,5,1.75,2.272727273,1.819325056,1.687296917,1.607428026,1.72711124,1.545922312,0.986571978,0.898003618,0.896956079,0.352155144,0.91827237,5/10/2018 10:00,78,-0.003307753,0.00992326,0.028182059,0.043794655,0.036143,4047995781,0.17178,95171000000,0.2537,4562000000,-514004219.4,983995780.6,53434000000,6252000000,4046000000,10298000000,8052000000,1020000000,1378000000,-4029000000,54442000000,49035000000,52909000000,96179000000,59.6271,31.9186,55668540393,1.08576E+11,1.3337,2.4915,2.3623,18.1983,0.043885,0.05495,1.1408,4.6075,10.5434,17.3665,26.822,16.3912,NA,0.078889,0.103619,0.127097,0.411982,0.401929,-0.034824,0.92899,0.050348,-0.333946,0.046332,0.074411,0.322507,0.432445,0.443709,0.063242,0.978544,0.01413,0.399151,0.437004,0.238701,0.265309,0.130023,0.600849,0,0,0.16045,0.718237,0.682342,0.280356,0.1741,8.6988,4.1816,0.279,4.6907,41.9599,87.2865,77.8129,51.4336,1.2443,3.2699,2.2312,1.1749,1.3044,0.043578,0.019106,0.024472,0.030451,0.074029,-0.005533,0.046196,0.02264,7.20E-05,0.074024,0.799608,0.799608,0.822653,0.056218,0.509831,0.566049,0,-2.10E-05,0.433972,5.2867,5.1378,4.7616,13.4491,13.0704,12.1134,0.6633,3.148,2.0383,-0.9063,-2.0161,3.3353,-0.719,-0.2588,0.6772,0.2509,0.043285,0.058477,-0.170974,4230785279,0.179537,0.181031,700000000,4.36,700000000,4.36,701600000,4.36,0,0,0.26,0.26,,0.24,0.4,0.56,0.5,,1,0.407430976,55.24490927,12.24744871,7.557438524,3.645751311,1.050661539,50.57419499
293,350,Lynn J. Good,DUK,Utilities,Q1,2018,5/10/2018 10:00,1.199,2543,147,2,1,2,1.799830111,1.671162924,1.653611895,1.754506815,1.532218853,0.945531576,0.82234486,0.989257802,0.621570961,0.875021406,8/2/2018 14:33,84,-0.003835827,-0.05191152,-0.009973149,0.032860248,0.03793,4066872505,0.169658,96680000000,0.2873,26495000000,-22428127495,1097872505,54882000000,6071000000,4144000000,10215000000,7979000000,1780000000,2201000000,-4719000000,55950000000,49030000000,54340000000,97748000000,59.6177,31.9486,51946801217,1.06293E+11,1.243,2.3195,2.1671,17.5318,0.047568,0.057039,1.0994,4.4342,10.4056,17.5083,26.1363,15.7029,NA,0.03307,0.020679,0.313757,0.356947,0.352564,0.053213,-2.42296,0.377502,0.017229,-0.00806,-0.028951,0.004663,-0.031005,-0.03211,0.02189,-42.634131,0.015856,0.392725,0.42614,0.228568,0.253264,0.123858,0.607275,0,0,0.164157,0.740768,0.660188,0.257735,0.1937,14.243,4.4688,0.2805,NA,25.6266,81.6781,0,107.3046,2.9922,5.921,3.909,1.173,1.3386,0.048744,0.017557,0.031188,0.09332,0.142064,-0.268818,0.049062,0.023993,0.000144,0.142044,0.824857,0.824857,0.848352,0.070794,0.501596,0.57239,0,6.10E-05,0.427548,5.4772,5.3196,4.7998,13.7575,13.3616,12.0559,0.6295,3.0204,2.0233,-0.9493,-1.9463,3.3677,-0.602,-11.1583,0.6369,0.2434,0.074256,0.091819,-0.196863,4369716816,0.182292,0.167202,701000000,4.22,701000000,4.22,704500000,4.22,0.28,,0.28,0.28,0.01,0.07,,0.14,0.42,0.17,1,0.474341649,48.60041152,12.60952021,9.774964387,2,1.047226281,68.42669983
294,352,Pedro J. Pizarro,EIX,Utilities,Q1,2017,5/1/2017 16:30,1.097,2646,178,2,0,1,1.791950674,1.66195693,1.596803048,1.731424049,1.527045232,0.912481132,0.766374058,0.847623463,0.393186819,0.855126436,7/28/2017 0:07,87,-0.016411787,-0.010319533,-0.001616312,-0.044013428,-0.997992,1943753884,84.511038,38121000000,0.0007,12930000000,-10986246116,432753884.4,23872000000,2202000000,2047000000,4249000000,3742000000,-642000000,-642000000,-1918000000,1276000000,0,1187000000,15525000000,43.2888,43.2888,24615790880,25809790880,1.7284,1.7284,1070.2518,17.6838,0.027332,0.056549,0.677,1122.1648,6.0743,11.7211,13.2783,7.8616,NA,0.219225,0.085264,0.400217,0.367421,0.388158,-0.253864,-8.137726,0.513279,NA,0.038875,0.014279,0.060737,0.060351,0.062972,0.008912,-43.34329,0.439832,-321.391304,184.73913,90.652174,95.73913,65.695652,322.391304,-1.086957,0,-412.043478,0.939093,0.730699,0.067744,0.0005,0.0217,29.3663,0.0006,NA,16782.0652,12.4292,0,16794.4944,1.2705,3.6511,2.6678,0,0.0896,0.061402,0.02443,0.036972,0.046975,0.108378,-0.347051,0.043258,0.029684,0.000394,0.108335,0.51092,0.51092,0.877338,0.08219,0,0.08219,0,0.000451,0.917359,0.3003,0.2794,0,0.6565,0.6107,0,1.3833,3.7133,3.2778,-2.597,-3.0325,5.5363,-0.774,-18.5266,0.463,0.2671,-27.913043,-27.913043,-83.391304,1967992542,85.564893,69.956522,326000000,4.27,329000000,4.22,326000000,4.27,0.36,0.25,0.35,,,-0.12,-0.16,-0.12,,,0,0.324037035,40.63249931,9.219544457,10.74679434,1,1.059945519,101.2661534
295,353,Pedro J. Pizarro,EIX,Utilities,Q2,2017,7/28/2017 0:07,1.081,2115,129,3,0,1,1.823504963,1.669545805,1.56454346,1.709881214,1.518697126,0.990474343,0.813177491,0.619194864,0.208132372,0.818743294,10/30/2017 21:31,94,0.011961415,0.019807074,0.048102894,-0.009646302,-0.981362,1934021365,9.165978,40071000000,0.0064,14296000000,-12361978635,422021365,25259000000,2293000000,2013000000,4306000000,5508000000,776000000,776000000,-371000000,1147000000,0,1060000000,15959000000,44.9848,44.9848,24344678512,25416678512,1.6449,1.6449,115.3776,17.5142,0.028481,0.057097,0.6343,120.4582,5.9026,11.0845,13.1419,7.3629,NA,0.300121,0.218385,0.482648,0.50149,0.540146,-0.132881,-9.739856,0.554646,8.173913,0.013415,0.041326,-0.005007,0.000662,0,0.051477,-0.125223,0.051153,-38.014218,20.407583,10.303318,10.867299,7.165877,39.014218,-3.535545,0,-48.317536,0.897329,0.734845,0.110386,0.0041,0.1554,30.3204,0.0058,NA,2348.282,12.0381,0,2360.3201,1.3055,3.6262,2.6647,0,0.0774,0.058744,0.022637,0.036107,0.047139,0.105882,-0.375482,0.044282,0.0292,0.00042,0.105838,0.810847,0.810847,0.626725,0.071872,0,0.071872,0,0.000752,0.927376,0.2664,0.2462,0,0.5931,0.5481,0,1.4925,3.7714,3.181,-5.2878,-5.8783,5.6776,-3.3816,-20.3322,0.8534,0.487,3.677725,3.677725,-1.758294,1952703264,9.254518,7.985782,326000000,4.26,329000000,4.22,326000000,4.26,0.33,,,0.25,0,0.01,,,-0.12,0.08,0,0.344963766,49.36598019,10.24695077,10.79795897,1,1.029157281,97.23649296
296,354,Pedro J. Pizarro,EIX,Utilities,Q3,2017,10/30/2017 21:31,1.071,1381,89,2,3,2.5,1.82063679,1.675703883,1.569702592,1.733351382,1.520829734,0.987923587,0.846538138,0.662385136,0.411946063,0.8285415,2/22/2018 23:33,115,-0.007941432,-0.021590768,-0.149025934,-0.22707532,-0.989757,2035943079,17.551233,27563000000,0.0036,-9591000000,11626943079,473943078.9,12940000000,2169000000,1977000000,4146000000,3650000000,-1277000000,-1160000000,-2651000000,13129000000,11638000000,12940000000,27752000000,44.5427,44.5427,24121595082,37074595082,1.651,1.651,207.9448,16.7627,0.029507,0.059656,1.3451,319.6086,8.9423,17.0929,18.21,10.7463,3.1887,0.119935,0.098228,0.510826,0.546535,0.604396,-0.174246,2.149881,-0.258142,-0.450237,-0.037157,-0.054078,0.052699,0.033069,0.037915,-0.000579,1.940541,-0.312146,-76.732759,35.741379,17.517241,18.698276,13.465517,77.732759,-12.810345,0,-94.25,1.010349,0.712771,-0.00194,0.0022,0.0767,33.4583,0.0031,NA,4760.7328,10.9091,0,4771.6419,1.2606,3.6609,2.6094,0.7959,0.8978,0.062918,0.026265,0.036653,0.046206,0.109124,0.359317,0.041392,0.029808,0.000454,0.109074,0.519846,0.519846,0.945205,0.053726,0.419357,0.473083,0,0.000468,0.526449,3.1667,3.1211,2.807,6.4486,6.3558,5.7163,0.7075,3.4815,3.268,-2.3772,-2.5908,5.5377,-0.321,18.6628,0.5099,0.291,-11.008621,-10,-22.853448,1437100000,12.388793,13.327586,326000000,4.41,328000000,4.38,326000000,4.41,0.1,0.09,0,,,0.06,0.25,0.11,,,0,0.314642654,47.07440918,10.14889157,9.94427191,2.732050808,1.019952623,89.15085797
297,355,Pedro J. Pizarro,EIX,Utilities,Q4,2017,2/22/2018 23:33,1.131,1797,116,2,1,2,1.834601526,1.658639651,1.56558099,1.718725094,1.527755027,0.99644969,0.744034459,0.62802144,0.27744231,0.857975492,5/1/2018 16:30,67,0.002741935,-0.019677419,0.022258065,0.061129032,0.037998,1024876712,0.083188,28709000000,0.4465,2233000000,-1208123288,356876712.3,14824000000,1588000000,1918000000,3506000000,3844000000,-1554000000,-463000000,-3339000000,15732000000,12856000000,14568000000,29617000000,42.2683,42.2683,19954431399,34543431399,1.4393,1.4393,1.6197,35.3176,0.036697,0.028315,1.2032,2.8038,9.8527,21.7528,33.705,9.6034,NA,-0.142787,-0.26854,-0.440709,-0.531228,-0.566751,0.105409,-5.65636,0.084341,105.206897,-0.154366,-0.267865,-0.496608,-0.572343,-0.607306,0.042609,-1.103907,0.041577,0.37362,0.284578,0.118182,0.128896,0.054221,0.62638,0,0,0.255438,0.703899,0.597607,0.296101,0.2365,12.2404,32.0873,0.2141,5.425,29.8192,11.3752,67.2817,-26.0872,0.9655,3.7112,2.2178,0.9259,1.133,0.037143,0.02633,0.010813,0.01044,0.047583,-0.043784,0.03048,0.012822,0.000926,0.047539,1.245509,1.245509,0.935744,0.097106,0.434075,0.531181,0,0.000709,0.46811,4.4872,4.1552,3.6669,15.3501,14.2144,12.5439,0.8087,2.4851,1.6039,-3.5305,-4.4118,5.6291,-0.3865,-1.8906,0.5276,0.2858,-0.126136,-0.037581,-0.271023,1544354057,0.125353,0.077029,326000000,1.73,328000000,1.72,326000000,1.73,0,,0.26,0.26,0,0.44,,0.58,0.48,0.29,1,0.353553391,50.29910536,10.67707825,10.38083152,2,1.038409572,79.69021071
298,356,Pedro J. Pizarro,EIX,Utilities,Q1,2018,5/1/2018 16:30,1.11,2203,122,7,0.166666667,1.285714286,1.843511369,1.659994583,1.56249135,1.728933006,1.522297569,0.998516609,0.753291471,0.60155719,0.369309327,0.835084889,7/26/2018 20:35,86,0.001258851,-0.038394965,-0.063886703,0.027222659,3.391304,843032178.2,8.346853,27491000000,0.0031,-10630000000,11473032178,325032178.2,13602000000,1465000000,1852000000,3317000000,4037000000,-1211000000,-1106000000,-1655000000,13916000000,13367000000,13730000000,27805000000,42.474,42.474,20217812366,33947812366,1.4557,1.4557,200.1764,48.0233,0.045893,0.020823,1.2349,336.117,10.2345,23.1726,40.2687,9.5039,2.9589,-0.219346,-0.334696,-0.566287,-0.657181,-0.694313,0.088029,2.044309,-0.278849,NA,-0.053908,-0.077456,-0.177431,-0.224551,-0.25,-0.00695,10.496574,-0.042426,-76.811881,32.841584,13.019802,14.50495,5.128713,77.811881,0.70297,0,-89.831683,0.641089,0.551536,0.358911,0.002,0.0965,32.4752,0.0026,NA,3781.9059,11.2393,0,3793.1453,1.3318,3.6709,2.0246,0.9624,1.0019,0.025697,0.017347,0.00835,0.011121,0.036819,0.349724,0.028366,0.01003,0.000249,0.036809,1.642857,1.642857,0.884815,0.019745,0.480741,0.500486,0,0,0.499514,4.1954,4.1393,4.0298,16.5071,16.2864,15.8559,0.6238,2.2298,1.2832,-3.9148,-4.8614,5.4368,-0.7078,17.4628,0.6439,0.2677,-11.990099,-10.950495,-16.386139,1355262376,13.418439,8,326000000,1.29,327000000,1.29,326000000,1.29,0.37,0.28,0.36,,,0.57,0.11,0.25,,,1,0.343511281,61.16371473,13.07669683,10.11043358,2,1.040656885,94.0001303
300,359,Fabrizio Freda,EL,Consumer Staples,Q4,2017,8/18/2017 17:07,1.143,2151,130,5,2.5,2.428571429,1.819714449,1.643199455,1.569381512,1.650866025,1.508000042,0.986986219,0.627329736,0.659751893,0.010797778,0.764491891,11/1/2017 15:27,74,0.010342537,0.010532309,0.026662871,0.034917924,0.049902,1314256030,0.111152,5207000000,2.7675,1869000000,-554743970.3,58256029.7,805000000,1692000000,464000000,2156000000,492000000,589000000,2330000000,2141000000,3572000000,3383000000,805000000,7974000000,11.7534,3.059,35081894414,35904894414,8.0023,30.7466,2.967,28.088,0.014035,0.035602,6.8955,3.0366,16.6535,21.2204,27.3196,19.9472,NA,0.064691,0.050932,0.132345,0.120428,0.131757,0.006149,-1.479696,0.559916,0.021424,0.050682,0.054206,0.124916,0.120428,0.124161,0.043478,-0.286855,0.001731,0.793894,0.182341,0.143099,0.143099,0.106225,0.206106,0.631681,0,0.650795,0.776747,0.955674,0.223253,1.1374,8.9137,1.7769,7.2674,3.1405,40.9483,205.4155,116.2249,130.1389,0.0696,2.6025,2.4871,0.7685,0.8114,0.307608,0.209554,0.098054,0.006824,0.314432,-0.129841,0.162763,0.120822,0.004131,0.313134,0.389331,0.718153,3.658537,0.023702,0.424254,0.447956,0,0.002257,0.549787,1.6568,0.3734,1.5691,2.7179,0.6125,2.5741,5.6872,16.4272,12.7598,11.6505,7.9831,17.4757,12.699,-5.3859,1.7584,1.1109,0.049814,0.197057,0.181072,1489800866,0.125998,0.136756,367100000,3.4,373000000,3.35,367400000,3.4,0.25,0,,0.25,0,-0.04,0,,-0.05,-0.08,0,0.459347363,54.39669108,12.28820573,11.86278049,4.16227766,1.055739986,112.3185435
